slug,title,object_type,confidence,review_required,classification_origin,reason,legacy_severity,category
802-1x-authentication,802.1X authentication,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Network & Connectivity
a-broken-file-association,A broken file association,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Windows Endpoints
a-browser-certificate-warning,A browser certificate warning,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Security & Compliance
a-browser-extension-conflict,A browser extension conflict,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
a-browser-proxy-certificate,A browser proxy certificate,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
a-browser-sign-in-loop,A browser sign-in loop,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
a-business-application-or-website-is-not-working,A business application or website is not working,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
a-business-application-sign-in,A business application sign-in,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
a-captive-portal,A captive portal,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Network & Connectivity
a-certificate-on-macos,A certificate on macOS,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,macOS Endpoints
a-citrix-application-launch,A Citrix application launch,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Remote Access, VDI & DaaS"
a-cloud-or-virtual-resource-is-degraded,A cloud or virtual resource is degraded,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Cloud & Virtualisation
a-cloud-service-outage,A cloud service outage,incident_event,high,false,deterministic_v2,Explicit incident/security/outage event language.,critical,Cloud & Virtualisation
a-cloud-vpn-gateway,A cloud VPN gateway,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Cloud & Virtualisation
a-conditional-access-block,A Conditional Access block,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Identity & Access Management
a-conference-room-camera,A conference-room camera,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Voice, Telephony & Meeting Rooms"
a-conference-room-display,A conference-room display,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Voice, Telephony & Meeting Rooms"
a-container-runtime,A container runtime,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Linux & Developer Workstations
a-corrupted-office-document,A corrupted Office document,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Data Protection, Backup & Recovery"
a-corrupted-outlook-data-cache,A corrupted Outlook data cache,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
a-corrupted-windows-user-profile,A corrupted Windows user profile,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Windows Endpoints
a-crm-client,A CRM client,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
a-damaged-or-loose-charging-port,A damaged or loose charging port,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Hardware & Peripherals
a-default-gateway-failure,A default gateway failure,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Network & Connectivity
a-deleted-email,A deleted email,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
a-deleted-mailbox-item,A deleted mailbox item,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Data Protection, Backup & Recovery"
a-desktop-with-no-power,A desktop with no power,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Hardware & Peripherals
a-developer-ide,A developer IDE,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Linux & Developer Workstations
a-development-proxy,A development proxy,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Linux & Developer Workstations
a-device-requesting-a-bitlocker-recovery-key,A device requesting a BitLocker recovery key,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,high,Windows Endpoints
a-device-software-or-asset-lifecycle-request-is-required,"A device, software or asset lifecycle request is required",context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Lifecycle & Asset Management
