rank,slug,title,category,priority,governance_state,verification_score_percent,priority_score,score_before_priority_floor,priority_floor_applied,queue_band,queue_label,risk_points,search_demand_tier,search_demand_points,search_demand_source,search_demand_source_field,temporary_proxy_match,escalation_frequency_tier,escalation_frequency_points,escalation_frequency_source,business_criticality_tier,business_criticality_points,business_criticality_source,evidence_readiness_points,promotion_ready,missing_requirements
1,respond-to-a-ransomware-alert,Respond to a ransomware alert,Security & Compliance,P0,under_review,28,72,72,false,immediate,Immediate verification,40,very_high,30,temporary_topic_proxy,metadata_only,ransomware,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
2,triage-a-site-internet-outage,Triage a site internet outage,Network & Connectivity,P0,under_review,22,72,72,false,immediate,Immediate verification,40,very_high,30,temporary_topic_proxy,metadata_only,site internet outage,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
3,triage-a-site-wide-lan-outage,Triage a site-wide LAN outage,Network & Connectivity,P0,under_review,22,72,72,false,immediate,Immediate verification,40,very_high,30,temporary_topic_proxy,metadata_only,site-wide lan,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
4,declare-and-coordinate-a-major-incident,Declare and coordinate a major incident,Service Desk & ITSM,P0,under_review,22,70,42,true,immediate,Immediate verification,40,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
5,respond-to-suspected-data-leakage,Respond to suspected data leakage,Security & Compliance,P0,under_review,22,70,42,true,immediate,Immediate verification,40,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
6,triage-a-cloud-service-outage,Triage a cloud service outage,Cloud & Virtualisation,P0,under_review,22,70,42,true,immediate,Immediate verification,40,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
7,triage-an-office-or-site-wide-outage,Triage an office or site-wide outage,Service Desk & ITSM,P0,under_review,22,70,42,true,immediate,Immediate verification,40,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
8,respond-to-a-suspected-compromised-account,Respond to a suspected compromised account,Identity & Access Management,P1,under_review,22,62,62,false,next,Next verification batch,30,very_high,30,temporary_topic_proxy,metadata_only,compromised account,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
9,troubleshoot-a-cloud-vpn-gateway,Troubleshoot a cloud VPN gateway,Cloud & Virtualisation,P1,under_review,22,62,62,false,next,Next verification batch,30,very_high,30,temporary_topic_proxy,metadata_only,vpn,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
10,troubleshoot-slow-vpn-performance,Troubleshoot slow VPN performance,Network & Connectivity,P1,under_review,22,62,62,false,next,Next verification batch,30,very_high,30,temporary_topic_proxy,metadata_only,vpn,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
