priority,slug,title,category,content_status,governance_state,evidence_complete_v2,evidence_score_percent,promotion_ready,next_review_due,missing_requirements
P0,declare-and-coordinate-a-major-incident,Declare and coordinate a major incident,Service Desk & ITSM,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,recover-a-corrupted-office-document,Recover a corrupted Office document,"Data Protection, Backup & Recovery",under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,repair-a-corrupted-outlook-data-cache,Repair a corrupted Outlook data cache,Microsoft 365 & Collaboration,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,bsod-0x0000007b,Resolve BSOD stop error 0x0000007B,Windows Endpoints,verified,revalidation_required,false,17,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|tested_platforms|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,respond-to-a-lost-or-stolen-computer,Respond to a lost or stolen computer,Security & Compliance,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,respond-to-a-lost-or-stolen-mobile-device,Respond to a lost or stolen mobile device,Mobile Devices & MDM,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,respond-to-a-ransomware-alert,Respond to a ransomware alert,Security & Compliance,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,respond-to-a-suspected-compromised-account,Respond to a suspected compromised account,Identity & Access Management,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,respond-to-suspected-data-leakage,Respond to suspected data leakage,Security & Compliance,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
P0,triage-a-cloud-service-outage,Triage a cloud service outage,Cloud & Virtualisation,under_review,under_review,false,22,false,,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
